Support,Confidence,Lift,Cluster,Year,Rank,Item 1 Category,Item 2 Category
0.004166667,1,240,0,2018,41,baby,bed_bath_table
0.004166667,1,240,0,2018,4,bed_bath_table,bed_bath_table
0.001091703,1,916,5,2017,82,bed_bath_table,bed_bath_table
0.001091703,1,916,5,2017,86,bed_bath_table,bed_bath_table
0.00019425,0.666666667,3432,4,2018,97,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,1,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,41,bed_bath_table,bed_bath_table
0.004166667,1,240,0,2018,43,bed_bath_table,bed_bath_table
0.004166667,1,240,0,2018,48,bed_bath_table,bed_bath_table
0.00019425,1,2574,4,2018,55,bed_bath_table,bed_bath_table
0.00019425,0.5,2574,4,2018,103,bed_bath_table,bed_bath_table
0.004166667,1,240,0,2018,28,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,3,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,42,bed_bath_table,bed_bath_table
0.004166667,1,240,0,2018,39,bed_bath_table,bed_bath_table
0.002906977,1,344,0,2017,44,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,2,bed_bath_table,bed_bath_table
0.005208333,1,192,2,2016,41,furniture_decor,bed_bath_table
0.005208333,1,192,2,2016,66,furniture_decor,bed_bath_table
0.026315789,1,38,3,2016,2,furniture_decor,bed_bath_table
0.026315789,1,38,3,2016,3,furniture_decor,bed_bath_table
0.026315789,1,38,3,2016,12,furniture_decor,bed_bath_table
0.002906977,1,344,0,2017,23,housewares,bed_bath_table
0.002906977,1,344,0,2017,24,housewares,bed_bath_table
0.002906977,1,344,0,2017,51,housewares,bed_bath_table
0.005208333,1,48,2,2016,29,health_beauty,health_beauty
0.002906977,1,344,0,2017,36,health_beauty,health_beauty
0.005208333,1,48,2,2016,25,perfumery,health_beauty
0.005208333,1,192,2,2016,30,baby,baby
0.002906977,1,344,0,2017,7,toys,baby
0.002906977,1,344,0,2017,8,toys,baby
0.001032844,0.714285714,314.3506494,3,2018,15,computers_accessories,computers_accessories
0.000291375,1,858,4,2018,19,computers_accessories,computers_accessories
0.000815536,0.727272727,132.1144781,5,2018,22,computers_accessories,computers_accessories
0.000517063,0.6,870.3,3,2017,40,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,9,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,4,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,2,computers_accessories,computers_accessories
0.004166667,1,120,0,2018,36,health_beauty,luggage_accessories
0.002906977,1,344,0,2017,12,computers_accessories,luggage_accessories
0.004975124,1,201,4,2017,29,luggage_accessories,luggage_accessories
0.001723544,0.909090909,310.2673797,3,2017,29,auto,auto
0.000861772,0.833333333,690.7142857,3,2017,35,auto,auto
0.005208333,1,192,2,2016,14,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,52,furniture_decor,furniture_decor
0.004166667,1,240,0,2018,11,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,16,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,31,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,33,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,32,furniture_decor,furniture_decor
0.001091703,1,916,5,2017,76,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,11,furniture_decor,furniture_decor
0.005208333,1,96,2,2016,46,furniture_decor,furniture_decor
0.005208333,1,192,2,2016,15,furniture_decor,furniture_decor
0.00019425,1,1716,4,2018,74,perfumery,perfumery
0.001091703,1,916,5,2017,67,housewares,housewares
0.001091703,1,916,5,2017,12,telephony,telephony
0.001091703,1,916,5,2017,80,telephony,telephony
0.001091703,1,916,5,2017,58,watches_gifts,watches_gifts
0.004975124,1,201,4,2017,34,cool_stuff,watches_gifts
0.001091703,1,916,5,2017,43,toys,toys
0.002906977,1,344,0,2017,32,toys,toys
0.002906977,1,344,0,2017,20,fashion_bags_accessories,fashion_bags_accessories
0.004166667,1,240,0,2018,13,fashion_bags_accessories,fashion_bags_accessories
0.004166667,1,240,0,2018,2,fashion_bags_accessories,fashion_bags_accessories
0.004975124,1,201,4,2017,13,fashion_bags_accessories,fashion_bags_accessories
0.001091703,1,916,5,2017,15,fashion_bags_accessories,fashion_bags_accessories
0.002906977,1,344,0,2017,29,fashion_bags_accessories,fashion_bags_accessories
0.00019425,1,5148,4,2018,31,costruction_tools_garden,costruction_tools_garden
0.001091703,1,916,5,2017,71,fashion_male_clothing,fashion_male_clothing
0.00019425,1,5148,4,2018,52,pet_shop,pet_shop
0.005208333,1,192,2,2016,44,market_place,market_place
0.005208333,1,192,2,2016,5,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,49,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,51,computers_accessories,computers_accessories
0.005208333,1,192,2,2016,67,computers_accessories,computers_accessories
0.001091703,1,916,5,2017,17,watches_gifts,watches_gifts
0.004975124,1,201,4,2017,24,bed_bath_table,bed_bath_table
0.004975124,1,201,4,2017,4,bed_bath_table,bed_bath_table
0.001091703,1,916,5,2017,51,fashion_bags_accessories,fashion_bags_accessories
0.001091703,1,916,5,2017,32,bed_bath_table,bed_bath_table
0.001091703,1,916,5,2017,31,bed_bath_table,bed_bath_table
0.001091703,1,916,5,2017,30,bed_bath_table,bed_bath_table
